,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,road_conditions,victim_counts,victim_categories,geometry,victim_role,victim_gender,victim_violations,victim_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,guilty_role,guilty_gender,guilty_violations,guilty_health_status,guilty_years_of_driving_experience,season,month,day_of_week,time_of_day,hijri,hijri_month_name,in_first_three_days_of_shawwal,vehicle_year_bin_eq_width,guilty_driving_experience_bin
480,2813046,ДТП,Светлое время суток,"{lat: 43.357645, long: 44.791464}",Uknown,Назрановский район,200.0,"тр. Кавказ-Карабулак-Ср. Ачалуки-Гайрбек-Юрт, 3 км",Ясно,Столкновение,2023-02-11 14:08:00,Тяжёлый,0,4,Республика Ингушетия,Сухое,4,Автомобиль,POINT (44.791464 43.357645),,,,,2021.0,VOLKSWAGEN,Серый,Polo,C — среднеразмерные автомобили,Водитель,Мужской,"Несоблюдение очередности проезда, Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут водитель), Несоблюдение требований ОСАГО",Стационарный раненый,56.0,Winter,2,Saturday,day,1444-07-20,Rajab,0,2020-2024,31+
481,2813047,ДТП,Светлое время суток,"{lat: 43.345514, long: 44.841385}",Uknown,Назрановский район,200.0,"тр. Кавказ-Карабулак-Ср. Ачалуки-Гайрбек-Юрт, 13 км",Ясно,Столкновение,2023-02-09 12:00:00,Тяжёлый,0,2,Республика Ингушетия,Мокрое,2,Автомобиль,POINT (44.841385 43.345514),,,,,2010.0,ВАЗ,Синий, Жигули  ВАЗ-2107 модификации,C — среднеразмерные автомобили,Водитель,Мужской,"Выезд на полосу встречного движения, Несоблюдение требований ОСАГО",Не пострадал,20.0,Winter,2,Thursday,day,1444-07-18,Rajab,0,2010-2014,21-25
482,2813048,ДТП,"В темное время суток, освещение включено","{lat: 43.289522, long: 44.830849}"," Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток неравнозначных улиц (дорог) ",Назрановский район,400.0,"с Плиево, ул С.Х.Плиева, *",Пасмурно,Столкновение,2023-02-02 17:40:00,Тяжёлый,0,2,Республика Ингушетия,Мокрое,3,Автомобиль,POINT (44.830849 43.289522),,,,,2010.0,ВАЗ,Иные цвета,Kalina,B — маленькие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Управление ТС лицом, не имеющим права на управление ТС, Несоблюдение требований ОСАГО",Не пострадал,,Winter,2,Thursday,evening,1444-07-11,Rajab,0,2010-2014,
483,2813049,ДТП,"В темное время суток, освещение включено","{lat: 43.273495, long: 44.81968}"," Жилые дома индивидуальной застройки, АЗС ",Назрановский район,200.0,"с Плиево, ул Осканова, 178",Ясно,Столкновение,2023-02-01 17:00:00,Легкий,0,1,Республика Ингушетия,Сухое,3,Автомобиль,POINT (44.81968 43.273495),,,,,1999.0,ВАЗ,Многоцветный," Жигули  ВАЗ-2108, 09 и модификации                       ",B — маленькие автомобили,Водитель,Мужской,"Выезд на полосу встречного движения с разворотом, поворотом налево или объездом препятствия, Несоблюдение требований ОСАГО",Стационарный раненый,1.0,Winter,2,Wednesday,evening,1444-07-10,Rajab,0,1995-1999,0-5
484,2733641,ДТП с Детьми,Светлое время суток,"{lat: 43.264347, long: 44.809874}", Жилые дома индивидуальной застройки ,Назрановский район,800.0,"с Барсуки, ул И.Зязикова, 49",Ясно,Наезд на пешехода,2022-07-05 13:20:00,Легкий,0,1,Республика Ингушетия,Сухое,2,Дети,POINT (44.809874 43.264347),Пешеход,Мужской,,Амбулаторный раненый,2008.0,ВАЗ,Многоцветный,Kalina,C — среднеразмерные автомобили,Водитель,Мужской,"Неправильный выбор дистанции, Несоблюдение требований ОСАГО",Стационарный раненый,14.0,Summer,7,Tuesday,day,1443-12-06,Dhu Al-Hijjah,0,2005-2009,11-15
485,2733650,ДТП,Светлое время суток,"{lat: 43.298354, long: 44.921336}", Жилые дома индивидуальной застройки ,Назрановский район,140.0,"тр. Кавказ-Карабулак-Ср. Ачалуки-Гайрбек-Юрт, 2 км",Ясно,Столкновение,2022-07-26 15:30:00,Тяжёлый,0,2,Республика Ингушетия,Сухое,2,Автомобиль,POINT (44.921336 43.298354),,,,,2012.0,ВАЗ,Иные цвета,Priora,B — маленькие автомобили,Водитель,Мужской,"Выезд на полосу встречного движения, Управление ТС лицом, не имеющим права на управление ТС, Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут водитель), Несоблюдение требований ОСАГО",Скончался,,Summer,7,Tuesday,day,1443-12-27,Dhu Al-Hijjah,0,2010-2014,
486,2733655,ДТП,Светлое время суток,"{lat: 43.181601, long: 44.795444}", АЗС ,Назрановский район,70.0,"Р-217 Кавказ, подъезд к городу Магас, 3 км",Ясно,Столкновение,2022-07-12 13:25:00,С погибшими,1,1,Республика Ингушетия,Сухое,3,Автомобиль,POINT (44.795444 43.181601),,,,,2017.0,ВАЗ,Иные цвета,Granta (Гранта),B — маленькие автомобили,Пассажир,Мужской,Uknown,Стационарный раненый,,Summer,7,Tuesday,day,1443-12-13,Dhu Al-Hijjah,0,2015-2019,
487,2733657,ДТП,"В темное время суток, освещение включено","{lat: 43.267378, long: 44.814091}"," Нерегулируемый перекрёсток неравнозначных улиц (дорог), Остановка общественного транспорта ",Назрановский район,200.0,"с Барсуки, ул Б.Зязикова, 105",Ясно,Столкновение,2022-07-11 20:20:00,С погибшими,1,1,Республика Ингушетия,Сухое,2,Автомобиль,POINT (44.814091 43.267378),,,,,2008.0,ВАЗ,Черный,ВАЗ 2114 и модификации,B — маленькие автомобили,Водитель,Мужской,Несоблюдение очередности проезда,Стационарный раненый,42.0,Summer,7,Monday,evening,1443-12-12,Dhu Al-Hijjah,0,2005-2009,31+
488,2733659,ДТП,"В темное время суток, освещение включено","{lat: 43.165138, long: 44.842436}"," Нерегулируемый перекрёсток неравнозначных улиц (дорог), Остановка общественного транспорта ",Назрановский район,200.0,"с/п Али-Юрт, Экажево-Али-Юрт, 3 км",Ясно,Столкновение,2022-07-11 00:20:00,Тяжёлый,0,2,Республика Ингушетия,Сухое,3,Автомобиль,POINT (44.842436 43.165138),,,,,2012.0,ВАЗ,Белый,ВАЗ 2114 и модификации,A — мини-автомобили,Водитель,Мужской,"Нарушение правил расположения ТС на проезжей части, Управление ТС лицом, лишенным права управления, Несоблюдение требований ОСАГО",Стационарный раненый,,Summer,7,Monday,night,1443-12-12,Dhu Al-Hijjah,0,2010-2014,
489,2733661,ДТП,Светлое время суток,"{lat: 43.206364, long: 44.841095}"," Жилые дома индивидуальной застройки, Регулируемый перекресток ",Назрановский район,300.0,"с Экажево, ул В.Джабагиева, 56",Ясно,Столкновение,2022-07-01 10:50:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,3,Автомобиль,POINT (44.841095 43.206364),,,,,2011.0,ВАЗ,Белый,Priora,B — маленькие автомобили,Водитель,Мужской,"Выезд на полосу встречного движения, Управление ТС лицом, лишенным права управления",Скончался,,Summer,7,Friday,morning,1443-12-02,Dhu Al-Hijjah,0,2010-2014,
